list_name,name,label::Arabic,label::English,region,district,Items
Municipality,LBY020802,صبراتة,Sabratha,LBY02,LBY0208,
Municipality,LBY020803,زوارة,Zwara,LBY02,LBY0208,
Municipality,LBY020804,الجميل,Aljmail,LBY02,LBY0208,
Municipality,LBY020805,رقدالين,Rigdaleen,LBY02,LBY0208,
Municipality,LBY020806,زلطن,Ziltun,LBY02,LBY0208,
Municipality,LBY020901,نسمة,Nesma,LBY02,LBY0209,
Municipality,LBY020902,الزنتان,Azzintan,LBY02,LBY0209,
Municipality,LBY020903,الأصابعة,Alasabaa,LBY02,LBY0209,
Municipality,LBY020904,القلعة,Al Qalaa,LBY02,LBY0209,
Municipality,LBY020905,يفرن,Yefren,LBY02,LBY0209,
Municipality,LBY020906,غريان,Ghiryan,LBY02,LBY0209,
Municipality,LBY020907,ككلة,Kikkla,LBY02,LBY0209,
Municipality,LBY020908,الرجبان,Arrajban,LBY02,LBY0209,
Municipality,LBY020909,جادو,Jadu,LBY02,LBY0209,
Municipality,LBY020910,الرحيبات,Arrhaibat,LBY02,LBY0209,
Municipality,LBY020911,الرياينة,Arrayayna,LBY02,LBY0209,
Municipality,LBY020912,الشقيقة,Ashshgega,LBY02,LBY0209,
Municipality,LBY020913,الشويريف,Ashshwayrif,LBY02,LBY0209,
Municipality,LBY020914,ظاهر الجبل,Thaher Aljabal,LBY02,LBY0209,
Municipality,LBY030101,الشرقية,Alsharguiya,LBY03,LBY0301,
Municipality,LBY030102,القطرون,Algatroun,LBY03,LBY0301,
Municipality,LBY030103,تراغن,Taraghin,LBY03,LBY0301,
Municipality,LBY030104,مرزق,Murzuq,LBY03,LBY0301,
Municipality,LBY030105,وادي عتبة,Wadi Etba,LBY03,LBY0301,
Municipality,LBY030201,غات,Ghat,LBY03,LBY0302,
Municipality,LBY030301,بنت بية,Bint Bayya,LBY03,LBY0303,
Municipality,LBY030302,الغريفة,Alghrayfa,LBY03,LBY0303,
Municipality,LBY030303,أوباري,Ubari,LBY03,LBY0303,
Municipality,LBY030401,الجفرة,Aljufra,LBY03,LBY0304,
Municipality,LBY030501,براك الشاطئ,Brak,LBY03,LBY0305,
Municipality,LBY030502,إدري الشاطئ,Edri,LBY03,LBY0305,
Municipality,LBY030503,القرضة الشاطئ,Algurdha Ashshati,LBY03,LBY0305,
Municipality,LBY030601,سبها,Sebha,LBY03,LBY0306,
Municipality,LBY030602,البوانيس,Albawanees,LBY03,LBY0306,
Municipality,dk,لا أعرف,I don't know,,,
Municipality,dwta,أفضل عدم الاجابة,I perfer not to answer,,,
yes_no,yes,نعم,Yes,,,
yes_no,no,لا,No,,,
rural_urban,rural,ريفي,Rural,,,
rural_urban,urban,حضري,Urban,,,
shop_type,general_store,"سوبرمركت,فضاء الاغذية و مستلزمات النظافة",Supermarket/general store for food and NFIs,,,
shop_type,central_market,سوق مركزي,Central market,,,
shop_type,bakery,مخبزة,Bakery,,,
shop_type,butcher,جزار,Butcher/meat shop,,,
shop_type,vegetable,محل خضراوات,Vegetable seller,,,
shop_type,fuel_shop,مستودع إسطوانات غاز الطهي,Fuel shop,,,
shop_type,pharmacy,صيدلية,Pharmacy,,,
shop_type,gas_station,محطة وقود,Gas station,,,
orgname,acted,منظمة اكتد (ACTED),ACTED,,,
orgname,drc,المجلس الدنماركي للاجئين (DRC),Danish Refugee Council,,,
orgname,wfp,برنامج الأغذية العالمي (WFP),WFP,,,
orgname,be_positive,كن إيجابيا (Be Positive),Be Positive,,,
orgname,libaid,الهيئة الليبية للإغاثة و المساعدات الانسانية (Libaid),Libaid ,,,
orgname,bawader,بوادر (Bawader),Bawader,,,
orgname,daam,دعم (Daam),Daam,,,
orgname,other_org_specify,اخرى (الرجاء التحديد),Other (please specify),,,
payment_modalities,check,الشيكات,Checks,,,
payment_modalities,cash_huwala,النقد عن طريق الحوالة,Cash through huwala ,,,
payment_modalities,credit_debit_card,بطاقة ائتمان,Credit or debit card,,,
payment_modalities,black_market_currency,شراء العملة من السوق السوداء بشيكات مصدق عليها,Buying currency from the black market using certified cheques,,,
payment_modalities,companies_cash,الشركات التي تقدم نقدا مقابل شيكات مصدق عليها,Companies providing cash in exchange for certified cheques,,,
payment_modalities,other,اخرى (الرجاء التحديد),Other (please specify),,,
modalities,cash,نقدا,Cash,,,
modalities,credit_debit_card,بطاقة ائتمان,Credit or debit card,,,
modalities,atib_card,بطاقة الدفع المسبق الخاص بمصرف السرايا (تداول),ATIB/Tadawul prepaid card,,,
modalities,check,الشيكات,Checks,,,
modalities,mobile_money,المعاملات المالية بالهاتف المحمول,Mobile money,,,
modalities,credit,"شراء بالدين (أي الشراء الآن، الدفع لاحقا)","On credit (i.e. buy now, pay later)",,,
modalities,bank_transfer,التحويل المصرفي,Bank transfer,,,
modalities,other_modality,اخرى (الرجاء التحديد),Other (please specify),,,
modalities_supplier,cash,نقدا,Cash,,,
modalities_supplier,check,الشيكات,Checks,,,
modalities_supplier,bank_transfer,التحويل المصرفي,Bank transfer,,,
modalities_supplier,other_modalities_supplier,اخرى (الرجاء التحديد),Other (please specify),,,
wfp_barter,every_day,كل يوم,Every day,,,
wfp_barter,twice_three_times_a_week,مرتين أو ثلاث مرات في الأسبوع,Twice or three times a week,,,
wfp_barter,few_times_per_month,مرات قليلة خلال الشهر,Few times per month,,,
wfp_barter,never,أبدا,Never,,,
wfp_impact,impact_yes,نعم,Yes,,,
wfp_impact,impact_no,لا,No,,,
wfp_impact,I_did_not_notice,لم ألاحظ,I did not notice,,,
wfp_impact_2,impact_wheat_flour,دقيق القمح,Wheat flour,,,
wfp_impact_2,impact_rice,الأرز,Rice,,,
wfp_impact_2,impact_chickpeas,الحمص,Chickpeas,,,
wfp_impact_2,impact_tomato_paste,معجون الطماطم,Tomato paste,,,
wfp_impact_2,impact_sugar,السكر,Sugar,,,
wfp_impact_2,impact_pasta,المعكرونة,Pasta,,,
wfp_impact_2,impact_vegetable_oil,زيوت نباتية,Vegetable oil,,,
wfp_impact_2,impact_other,اخرى (الرجاء التحديد),Other (please specify),,,
wfp_impact_3,impact_3_yes,نعم,Yes,,,
wfp_impact_3,impact_3_no,لا,No,,,
wfp_impact_3,impact_3_I_did_not_notice,لم ألاحظ,I did not notice,,,
item,Salt,ملح,Salt,,,
item,Sugar,السكر,Sugar,,,
item,Wheat_flour,دقيق القمح,Wheat flour,,,
item,Rice,أرز,Rice,,,
item,Pasta,معكرونة,Pasta,,,
item,Couscous,كسكس,Couscous,,,
item,Tomato_paste,معجون الطماطم,Tomato paste,,,
item,Chickpeas,الحمص (المعلب),Chickpeas (canned),,,
item,Beans,الفاصوليا (المعلبة),Beans (canned),,,
item,Condensed_milk,حليب مركز,Condensed milk,,,
item,Milk,حليب,Milk,,,
item,Baby_milk,حليب الأطفال,Baby milk,,,
item,Green_tea,شاي أخضر,Green tea,,,
item,Black_tea,شاي أسود,Black tea,,,
item,Veg_oil,زيت نباتي,Vegetable oil,,,
item,Tuna,تونة,Tuna,,,
item,Eggs,بيض,Eggs,,,
item,Chicken,دجاج,Chicken,,,
item,Lamb_meat,لحم حمل,Lamb meat,,,
item,Bread,خبز,Bread,,,
item,Tomatoes,طماطم,Tomatoes,,,
item,Onions,بصل,Onions,,,
item,Peppers,فلفل,Peppers,,,
item,Potatoes,بطاطا,Potatoes,,,
item,Hand_washing_soap,صابون لغسيل اليدين,Hand washing soap,,,
item,Laundry_soap,صابون الغسيل,Laundry soap,,,
item,Shampoo,شامبو,Shampoo,,,
item,Dishwashing_liquid,سائل غسيل الصحون,Dishwashing liquid,,,
item,Toothpaste,معجون الأسنان,Toothpaste,,,
item,Toothbrush,فرشاة الأسنان,Toothbrush,,,
item,Female_sanitary_pads,فوطة نسائية,Female sanitary pads,,,
item,Childrens_diapers,حفاضات الأطفال,Children’s diapers,,,
item,water,ماء,Water,,,
item,cooking_fuel,غاز الطهي,Cooking fuel,,,fuel_item
item,Hand_Sanitiser,معقم اليدين,Hand Sanitiser,,,
item,Antibacteria_Surface_Sanitiser,مطهر أسطح مضاد للجراثيم ,Antibacteria  Surface Sanitiser,,,
wfp_replenish,daily,يوميا,Daily,,,
wfp_replenish,2_7,بين 2 أيام و 7 أيام,Between 2 days and 7 days,,,
wfp_replenish,8_15,بين 8 أيام إلى 15 يوما,Between 8 days to 15 days,,,
wfp_replenish,16_21,بين 16 يوما و 21 يوما,Between 16 days and 21 days,,,
wfp_replenish,22_more,أكثر,More,,,
unavailable,unavailable_yes,نعم,Yes,,,
unavailable,unavailable_no,لا,No,,,
gender,men,رجال,Men,,,
gender,women,نساء,Women,,,
gender,gender_same,نفس الشيء,Same proportion of men and women,,,
gender,gender_dont_know,لا أعرف,I don’t know,,,
gender_2,gender_yes,نعم,Yes,,,
gender_2,gender_no,لا,No,,,
price_changes,changes_yes,نعم,Yes,,,
price_changes,changes_no,لا,No,,,
vulnerability,Displaced,السكان النازحون,Displaced population,,,
vulnerability,Female_headed,"أنثى، ربة الأسرة",Female head of household,,,
vulnerability,Elderly,كبار السن,Elderly,,,
vulnerability,Unaccompanied_children,الأطفال غير المصحوبين,Unaccompanied children,,,
vulnerability,Homeless_population,السكان المشردون,Homeless population,,,
vulnerability,Child_parent,الوالد / مقدم الرعاية,Child parent / caregiver,,,
vulnerability,Disabled_population,السكان المعاقون,Disabled population,,,
vulnerability,other_vulnerability,غير ذلك (يرجى التحديد),Other: please specify,,,
liquidity_issue,yes_full,نعم بالكامل,Yes in Full,,,
liquidity_issue,yes_partially,نعم جزئيا,Yes partially,,,
liquidity_issue,no,غير قادر على الوصول إلى النقد,Not able to access cash,,,
liquidity_issue,no_need_cash,لا تحتاج إلى الدفع نقدًا,Do not need to make payment in cash,,,
access_challenge,yes,نعم,Yes,,,
access_challenge,no,لا,No,,,
access_challenge,dk,لا اعرف,Don't know,,,
vendor_status,official_vendor,رسمی,Official vendor,,,
vendor_status,unofficial_vendor,غیر رسمی,Unofficial vendor,,,
vendor_status,other,أخرى,Other,,,
acted_purpose,jmmi,مبادرة مراقبة السوق المشتركة,JMMI,,,
"""",pos_monitoring,مراقبة نقاط البيع,POS Monitoring,,,
frequency,everyday,كل یوم,Every day,,,
frequency,4_6daysperweek,6 -4 أیام في الأسبوع,4-6 days per week,,,
frequency,2_3daysperweek,2-3  أیام في الأسبوع,2-3 days per week,,,
frequency,onceperweek,مرة في الأسبوع,Once per week,,,
frequency,lessthanonceperweek,أقل من مرة في الأسبوع,Less than once per week,,,
frequency,other,غیر ذلك (یرجى التحدید),Other (please specify),,,
phone_credit_increase_amount,five_percent ,5% ,5% ,,,
phone_credit_increase_amount,ten_precent,10%,10%,,,
phone_credit_increase_amount,twenty_percent ,20%,20%,,,
phone_credit_increase_amount,fifty_percent ,50%,50%,,,
phone_credit_increase_amount,one_hundred_percent,100%,100%,,,
phone_credit_increase_amount,two_hundred_percent,200%,200%,,,
phone_credit_increase_amount,other,قيمة أخرى,Other,,,
difficulties_reasons,not_enough_supply_of_goods,عدم توفر ما يكفي من السلع,Not enough supply of goods,,,
difficulties_reasons,not_enough_demand_for_customers,لا يوجد ما يكفي من الطلب من الزبائن,Not enough demand for customers ,,,
difficulties_reasons,not_enough_money_to_purchase_new_goods,لا يوجد ما يكفي من المال أو الرصيد لشراء سلع جديدة,Not enough money or credit to purchase new goods ,,,
difficulties_reasons,fuel_shortages,مقص في الوقود,Fuel shortages,,,
difficulties_reasons,power_cuts,انقطاعات في التيار الكهربائي,Power cuts ,,,
difficulties_reasons,transportation_is_blocked,انقطاع وسائل النقل,Transportation is blocked ,,,
difficulties_reasons,increased_check_points_and_fees_for_the_transportation_of_goods,زيادة نقاط التفتيش والرسوم الخاصة بنقل البضائع,Increased check points and fees for the transportation of goods ,,,
difficulties_reasons,unsafe_to_transport_goods_along_normal_trade_routes,من غير الآمن الآن نقل البضائع على طول طرقات التجارة العادية,It is now unsafe to transport goods along normal trade routes ,,,
difficulties_reasons,imported_items_are_less_available,المواد المستوردة أقل توفرا,Imported items are less available ,,,
difficulties_reasons,dk,لا أعرف,Do not know ,,,
difficulties_reasons,dwta,أفضل عدم الاجابة ,Refuse to answer ,,,
difficulties_reasons,other,أخرى (الرجاء التحديد),Other (please specify) ,,,
customers_change_pct,inc_81_to_100,81% + الى 100%,81+% to 100%,,,
customers_change_pct,inc_61_to_81,61% + الى 80%,61+% to 80%,,,
customers_change_pct,inc_41_to_60,41% + الى 60+%,41+% to 60+%,,,
customers_change_pct,inc_21_to_60,21% + الى 60%,21+% to 60%,,,
customers_change_pct,inc_1_to_20,1% + الى 20%,1+% to 20%,,,
customers_change_pct,no_change,0%,0%,,,
customers_change_pct,dec_1_to_20,1% - الى 20-%,1-% to 20-%,,,
customers_change_pct,dec_21_to_60,21% - الى 04-%,21-% to 40-%,,,
customers_change_pct,dec_41_to_60,41% - الى60-%,41-% to 60-%,,,
customers_change_pct,dec_61_to_81,61% - الى 80-%,61-% to 80-%,,,
customers_change_pct,dec_81_to_100,81% - الى 100-%,81-% to 100-%,,,
customers_change_pct,dk,لا أعرف,Do not know ,,,
customers_change_pct,dwta,أفضل عدم الاجابة,Refuse to answer ,,,
amount_dk_dwta,amount,قم بإدخال الرقم,Enter amount,,,
amount_dk_dwta,dk,لا أعرف,Don’t know ,,,
amount_dk_dwta,dwta,أفضل عدم الإجابة,Refuse to answer,,,
bank_list,bank1,الجمهورية,aljumhuria,,,
bank_list,bank2,التجاري الوطني,altijarii alwatani,,,
bank_list,bank3,الوحدة,alwehda,,,
bank_list,bank4,الصحارى,alsaharaa,,,
bank_list,bank5,شمال أفريقيا,shamal 'afriqia,,,
bank_list,bank6,الواحة,alwaha,,,
bank_list,bank7,الأمــان,al'aman,,,
bank_list,bank8,الوفاء,alwafa',,,
bank_list,bank9,السرايا,alsaraya,,,
bank_list,bank10,الخليج الاول,alkhalij al'awal,,,
bank_list,bank11,المتحد,almutahid,,,
bank_list,bank12,التجاري العربي,altijari alarabi,,,
bank_list,bank13,التجارة والتنمية,altijara waltanmia,,,
bank_list,bank14,المتوسط,almutawasit,,,
bank_list,bank15,الاجماع العربي,al'iijmae alarabi,,,
bank_list,bank16,الليبي الخارجي,alliybi alkhariji,,,
bank_list,bank17,النوران,alnuwran,,,
bank_list,bank18,المصرف الإسلامي الليبي,almasrif al'iislami alliybi,,,
bank_list,bank19,مصرف التنمية,masraf altanmia,,,
bank_list,bank20,مصرف اليقين,masraf alyaqin,,,
bank_list,bank21,اهلي,Ahli,,,
bank_list,bank22,امان بنك,Aman bank,,,
bank_list,bank23,جمهورية,Jomhorya,,,
bank_list,bank24,صحاري,Sahari,,,
bank_list,bank25,زراعي,Ziraii,,,
bank_list,bank26,التجاري,Tijari,,,
bank_list,bank27,التجارة,Tijara,,,
bank_list,other,أخرى (الرجاء التحديد),Other (please specify) ,,,
bank_list,dwta,أفضل عدم الإجابة,Prefer not to say ,,,
modality_barriers,lack_of_internet ,عدم وجود الانترنت,Lack of internet ,,,
modality_barriers,power_cuts,انقطاعات التيار الكهربائي,Power cuts,,,
modality_barriers,lack_of_demand,نقص الطلب/ الاهتمام من قبل العملاء,Lack of demand/ interest from customers ,,,
modality_barriers,dk_financial_service_provider,لا أعرف أي مقدم خدمة مالية,I do not know a financial service provider,,,
modality_barriers,cash_only_liquidity,فقط تقديم النقد كطريقة في المتجر / السيولة,Providing only cash as modality in the shop/liquidity,,,
modality_barriers,too_expensive,ان استخدام طرق أخرى يكون مكلفا للغاية,It is too expensive to use other modalities ,,,
modality_barriers,other,أخرى,Other,,,
modality_barriers,dwta,أفضل عدم الإجابة,Prefer not to answer,,,
modalities_customer,cash,نقدا,Cash,,,
modalities_customer,credit_debit_card,بطاقة ائتمان,Credit or debit card,,,
modalities_customer,atib_card,بطاقة الدفع المسبق الخاص بمصرف السرايا (تداول),ATIB/Tadawul prepaid card,,,
modalities_customer,check,الشيكات,Checks,,,
modalities_customer,mobile_money,المعاملات المالية بالهاتف المحمول,Mobile money,,,
modalities_customer,credit,"شراء بالدين (أي الشراء الآن، الدفع لاحقا)","On credit (i.e. buy now, pay later)",,,
modalities_customer,bank_transfer,التحويل المصرفي,Bank transfer,,,
modalities_customer,other_modality,اخرى (الرجاء التحديد),Other (please specify),,,
modalities_customer,dwta,أفضل عدم الإجابة,Prefer not to say,,,
yes_no_dk_dwta,yes,نعم,Yes,,,
yes_no_dk_dwta,no,لا,No,,,
yes_no_dk_dwta,dk,لا أعرف,Do not know ,,,
yes_no_dk_dwta,dwta,أفضل عدم الإجابة,Prefer not to say ,,,
yes_no_dwta,yes,نعم,Yes,,,
yes_no_dwta,no,لا,No,,,
yes_no_dwta,dwta,أفضل عدم الإجابة,Prefer not to say ,,,
yes_no_st_dwta,yes,نعم,Yes,,,
yes_no_st_dwta,no,لا,No,,,
yes_no_st_dwta,sometimes,أحيانا,Sometimes,,,
yes_no_st_dwta,dwta,أفضل عدم الإجابة,Prefer not to say ,,,
modalities_alternatives,sell_checks_parallel_market,بيع الشيكات في السوق الموازية,Selling checks on the parallel market,,,
modalities_alternatives,exchange_checks_with_business,تبادل الشيكات المصادق عليها مع الشركات  ,Exchanging checks with businesses,,,
modalities_alternatives,borrow_vendor,اقتراض المال من البائعين,Borrowing cash from vendors,,,
modalities_alternatives,cash_from_workplace,الحصول على المال من مكان العمل,Receiving cash from my work place,,,
modalities_alternatives,other,أخرى,Other,,,
modalities_alternatives,dwta,أفضل عدم الإجابة,Prefer not to say ,,,
modality_frequency ,monthly,شهريا,Every month ,,,
modality_frequency ,quarterly ,كل ثلاثة شهور,Every three months ,,,
modality_frequency ,every_6_months ,كل ستة اشهر,Every six months ,,,
modality_frequency ,yearly ,كل عام,Once a year ,,,
modality_frequency ,never,مطلقا,Never ,,,
modality_frequency ,other,أخرى,Other,,,
modality_frequency ,dwta,أفضل عدم الإجابة,Prefer not to say ,,,
modality_time,monthly, منذ شهر واحد,1 month ago ,,,
modality_time,quarterly ,منذ 3 أشهر,3 months ago,,,
modality_time,every_6_months ,منذ 6 أشهر,6 months ago,,,
modality_time,yearly ,منذعام,1 year ago ,,,
modality_time,more_1_year,منذ أكثر من عام,More than 1 year ago ,,,
modality_time,never,أبداً,Never,,,
modality_time,not_know_not_owner,لا أعرف / أشتغل بالمحل فقط ,Do Not know/I'm not the owner I'm just a vendor,,,
modality_reasons ,receive_only_cash_do_not_prefer_other,أفضل الحصول على النقد / لا  أفضل الأساليب الأخرى,Only want to receive cash/do not prefer other modalities,,,
modality_reasons ,lack_trust_bank,عدم الثقة في المؤسسات المالية/ البنوك,I do not trust financial institutions,,,
modality_reasons ,do_not_know,لا أعرف,I don’t know,,,
modality_reasons ,dwta,أفضل عدم الإجابة,Prefer not to say ,,,
